freq  i  field  SR124
8.0 5.99086 1160.2507494 1.09910420014
8.0 5.96086 1154.5420494 1.07878053142
8.0 5.93086 1148.8333494 1.08458729391
8.0 5.90086 1143.1246494 1.1320091876
8.0 5.87086 1137.4159494 1.06813480018
8.0 5.84086 1131.7072494 1.09716861264
8.0 5.81086 1125.9985494 1.15104246465
8.0 5.78086 1120.2898494 1.09620081889
8.0 5.75086 1114.5811494 0.994259877363
8.0 5.72086 1108.8724494 1.01458354609
8.0 5.69086 1103.1637494 1.05490828562
8.0 5.66086 1097.4550494 0.970065033645
8.0 5.63086 1091.7463494 1.02781006065
8.0 5.60086 1086.0376494 1.05781166686
8.0 5.57086 1080.3289494 1.08974886057
8.0 5.54086 1074.6202494 1.0268422669
8.0 5.51086 1068.9115494 0.971678023227
8.0 5.48086 1063.2028494 0.928449902451
8.0 5.46534 1060.2495486 0.87360825669
8.0 5.46271 1059.7490859 0.920062356628
8.0 5.46008 1059.2486232 0.881028008764
8.0 5.45745 1058.7481605 0.901674275403
8.0 5.45482 1058.2476978 0.959741900326
8.0 5.45219 1057.7472351 0.904900254565
8.0 5.44956 1057.2467724 0.875221246271
8.0 5.44693 1056.7463097 0.931353283697
8.0 5.4443 1056.245847 0.961354889907
8.0 5.44167 1055.7453843 0.884253987926
8.0 5.43904 1055.2449216 0.837154692155
8.0 5.43641 1054.7444589 0.890383348335
8.0 5.43378 1054.2439962 0.960709694074
8.0 5.43115 1053.7435335 0.899738687905
8.0 5.42852 1053.2430708 0.863285123371
8.0 5.42589 1052.7426081 0.877802029601
8.0 5.42326 1052.2421454 0.861349535873
8.0 5.42063 1051.7416827 0.846832629642
8.0 5.418 1051.24122 0.823605579673
8.0 5.41537 1050.7407573 0.840380671318
8.0 5.41274 1050.2402946 0.857800958795
8.0 5.41011 1049.7398319 0.805217498448
8.0 5.40748 1049.2393692 0.816508425516
8.0 5.40485 1048.7389065 0.859736546292
8.0 5.40222 1048.2384438 0.855542773381
8.0 5.39959 1047.7379811 0.819089208846
8.0 5.39696 1047.2375184 0.833606115077
8.0 5.39433 1046.7370557 0.78618422139
8.0 5.3917 1046.236593 0.775538490154
