freq  i  field  SR124
9.0 7.05502 1362.7497558 1.08168391266
9.0 7.02502 1357.0410558 1.09878160222
9.0 6.99502 1351.3323558 1.05426308978
9.0 6.96502 1345.6236558 1.1181374772
9.0 6.93502 1339.9149558 1.06265063561
9.0 6.90502 1334.2062558 1.00426041277
9.0 6.87502 1328.4975558 0.998131052358
9.0 6.84502 1322.7888558 1.06426362519
9.0 6.81502 1317.0801558 0.921352748293
9.0 6.78502 1311.3714558 1.07813533559
9.0 6.75502 1305.6627558 1.01458354609
9.0 6.72502 1299.9540558 0.861026937957
9.0 6.69502 1294.2453558 0.987162723206
9.0 6.66502 1288.5366558 1.0507145127
9.0 6.63502 1282.8279558 0.970710229478
9.0 6.60502 1277.1192558 0.9790977753
9.0 6.57502 1271.4105558 0.903932460817
9.0 6.54502 1265.7018558 0.807475683861
9.0 6.52951 1262.7504579 0.786829417222
9.0 6.51374 1259.7495846 0.724245421472
9.0 6.49797 1256.7487113 0.85651056713
9.0 6.4822 1253.747838 0.74585948186
9.0 6.46643 1250.7469647 0.678436517366
9.0 6.45066 1247.7460914 0.622949675773
9.0 6.43489 1244.7452181 0.611013552872
9.0 6.41912 1241.7443448 0.528428486316
9.0 6.40335 1238.7434715 0.430358719779
9.0 6.38758 1235.7425982 0.436810678104
9.0 6.37181 1232.7417249 0.169377005543
9.0 6.35604 1229.7408516 0.252929865848
9.0 6.34027 1226.7399783 0.150343728485
9.0 6.3245 1223.739105 -0.0445054129232
9.0 6.30873 1220.7382317 -0.114831758663
9.0 6.29296 1217.7373584 -0.217740493943
9.0 6.27719 1214.7364851 -0.402266502031
9.0 6.26142 1211.7356118 -0.382588029141
9.0 6.24565 1208.7347385 -0.602922405931
9.0 6.22988 1205.7338652 -0.680991101661
9.0 6.21411 1202.7329919 -0.940359826316
9.0 6.19834 1199.7321186 -1.05907585949
9.0 6.18257 1196.7312453 -1.10940113442
9.0 6.1668 1193.730372 -1.19940595306
9.0 6.15103 1190.7294987 -1.17133993434
9.0 6.13526 1187.7286254 -0.935198259656
9.0 6.11949 1184.7277521 -0.781319053611
9.0 6.10372 1181.7268788 -0.389039987465
9.0 6.08795 1178.7260055 0.00904584117234
9.0 6.07218 1175.7251322 0.340353901149
9.0 6.05641 1172.7242589 0.924578727456
9.0 6.04064 1169.7233856 1.37782879977
9.0 6.02487 1166.7225123 1.9188255053
9.0 6.0091 1163.721639 2.33078304434
9.0 5.99333 1160.7207657 2.65821992932
9.0 5.97756 1157.7198924 2.75758008752
9.0 5.96179 1154.7190191 2.91726605606
9.0 5.94602 1151.7181458 3.0353368934
9.0 5.93025 1148.7172725 3.01727141009
9.0 5.91448 1145.7163992 2.93242815812
9.0 5.89871 1142.7155259 2.78016194166
9.0 5.88294 1139.7146526 2.79016247706
9.0 5.86717 1136.7137793 2.64079964184
9.0 5.8514 1133.712906 2.59724892315
9.0 5.83563 1130.7120327 2.43175619212
9.0 5.81986 1127.7111594 2.23142288614
9.0 5.80409 1124.7102861 2.22206754657
9.0 5.78832 1121.7094128 2.17335526121
9.0 5.77255 1118.7085395 2.23529406113
9.0 5.75678 1115.7076662 2.01979865308
9.0 5.74101 1112.7067929 1.93818138028
9.0 5.72524 1109.7059196 1.86559684912
9.0 5.70947 1106.7050463 1.80236765754
9.0 5.6937 1103.704173 1.7181696014
9.0 5.67793 1100.7032997 1.67139290355
9.0 5.66216 1097.7024264 1.70849166391
9.0 5.64639 1094.7015531 1.6068733203
9.0 5.63062 1091.7006798 1.56074181828
9.0 5.61485 1088.6998065 1.46815621632
9.0 5.59908 1085.6989332 1.56751637452
9.0 5.58331 1082.6980599 1.40395923099
9.0 5.56754 1079.6971866 1.41460496222
9.0 5.55177 1076.6963133 1.36557007895
9.0 5.536 1073.69544 1.37976438727
9.0 5.52023 1070.6945667 1.44138058927
9.0 5.50446 1067.6936934 1.3784739956
9.0 5.48869 1064.6928201 1.34331082273
9.0 5.47848 1062.7499592 1.34234302898
9.0 5.44848 1057.0412592 1.24814443744
9.0 5.41848 1051.3325592 1.29266294988
9.0 5.38848 1045.6238592 1.23911169579
9.0 5.35848 1039.9151592 1.31427701027
9.0 5.32848 1034.2064592 1.23878909787
9.0 5.29848 1028.4977592 1.20104514167
9.0 5.26848 1022.7890592 1.16555937089
9.0 5.23848 1017.0803592 1.19459318335
9.0 5.20848 1011.3716592 1.19685136876
9.0 5.17848 1005.6629592 1.16620456672
9.0 5.14848 999.9542592 1.31363181444
9.0 5.11848 994.2455592 1.13942893967
9.0 5.08848 988.5368592 1.25040262286
9.0 5.05848 982.8281592 1.08910366474
9.0 5.02848 977.1194592 1.04748853354
9.0 4.99848 971.4107592 1.09491042723
9.0 4.96848 965.7020592 1.12265384803
