freq  i  field  SR124
12.0 10.82558 2080.2496182 0.901996873319
12.0 10.79558 2074.5409182 0.907481037895
12.0 10.76558 2068.8322182 0.95167695242
12.0 10.73558 2063.1235182 0.923933531623
12.0 10.70558 2057.4148182 0.902964667068
12.0 10.67558 2051.7061182 0.897803100408
12.0 10.64558 2045.9974182 0.892964131664
12.0 10.61558 2040.2887182 0.880382812931
12.0 10.58558 2034.5800182 0.837799887988
12.0 10.55558 2028.8713182 0.913610398304
12.0 10.52558 2023.1626182 0.859413948376
12.0 10.49558 2017.4539182 0.899416089989
12.0 10.46558 2011.7452182 0.779409665149
12.0 10.43558 2006.0365182 0.762634573504
12.0 10.40558 2000.3278182 0.768441335997
12.0 10.37558 1994.6191182 0.75360183185
12.0 10.34558 1988.9104182 0.754892223515
12.0 10.31558 1983.2017182 0.672629754874
12.0 10.30007 1980.2503203 0.730052183964
12.0 10.29744 1979.7498576 0.68327548611
12.0 10.29481 1979.2493949 0.691340434016
12.0 10.29218 1978.7489322 0.659403240308
12.0 10.28955 1978.2484695 0.643918540329
12.0 10.28692 1977.7480068 0.649402704905
12.0 10.28429 1977.2475441 0.663919611135
12.0 10.28166 1976.7470814 0.630046829931
12.0 10.27903 1976.2466187 0.683920681942
12.0 10.2764 1975.746156 0.697147196508
12.0 10.27377 1975.2456933 0.623594871606
12.0 10.27114 1974.7452306 0.619401098695
12.0 10.26851 1974.2447679 0.599400027888
12.0 10.26588 1973.7443052 0.651015694486
12.0 10.26325 1973.2438425 0.658758044476
12.0 10.26062 1972.7433798 0.66779078613
12.0 10.25799 1972.2429171 0.631014623679
12.0 10.25536 1971.7424544 0.550042546703
12.0 10.25273 1971.2419917 0.632950211177
12.0 10.2501 1970.741529 0.491652323864
12.0 10.24747 1970.2410663 0.646499323659
12.0 10.24484 1969.7406036 0.58294753416
12.0 10.24221 1969.2401409 0.575527782086
12.0 10.23958 1968.7396782 0.547461763374
12.0 10.23695 1968.2392155 0.584237925825
12.0 10.23432 1967.7387528 0.598432234139
12.0 10.23169 1967.2382901 0.55552671128
12.0 10.22906 1966.7378274 0.553913721698
12.0 10.22643 1966.2373647 0.651015694486
12.0 10.2238 1965.736902 0.610045759124
12.0 10.22117 1965.2364393 0.629079036182
12.0 10.21854 1964.7359766 0.51520197175
12.0 10.21591 1964.2355139 0.503588446765
12.0 10.21328 1963.7350512 0.538429021719
12.0 10.21065 1963.2345885 0.53746122797
12.0 10.20802 1962.7341258 0.516169765498
12.0 10.20539 1962.2336631 0.484555169707
12.0 10.20276 1961.7332004 0.47487723222
12.0 10.20013 1961.2327377 0.474554634304
12.0 10.1975 1960.732275 0.510685600922
12.0 10.19487 1960.2318123 0.51004040509
12.0 10.19224 1959.7313496 0.472619046806
12.0 10.18961 1959.2308869 0.501975457184
12.0 10.18698 1958.7304242 0.519073146745
12.0 10.18435 1958.2299615 0.518427950912
12.0 10.18172 1957.7294988 0.450682388502
12.0 10.17909 1957.2290361 0.491007128032
12.0 10.17646 1956.7285734 0.528105888399
12.0 10.17383 1956.2281107 0.498749478022
12.0 10.1712 1955.727648 0.456166553078
12.0 10.16857 1955.2271853 0.451327584335
12.0 10.16594 1954.7267226 0.427455338533
12.0 10.16331 1954.2262599 0.423261565622
12.0 10.16068 1953.7257972 0.480683994712
12.0 10.15805 1953.2253345 0.455521357246
12.0 10.15542 1952.7248718 0.400034515653
12.0 10.15279 1952.2244091 0.391001773998
12.0 10.15016 1951.7239464 0.389066186501
12.0 10.14753 1951.2234837 0.387130599003
12.0 10.1449 1950.723021 0.382614228176
12.0 10.14227 1950.2225583 0.344225076144
12.0 10.13964 1949.7220956 0.372291094856
12.0 10.13701 1949.2216329 0.420680782292
12.0 10.13438 1948.7211702 0.400357113569
12.0 10.13175 1948.2207075 0.336482726154
12.0 10.12912 1947.7202448 0.330998561578
12.0 10.12649 1947.2197821 0.370032909443
12.0 10.12386 1946.7193194 0.401647505234
12.0 10.12123 1946.2188567 0.360677569872
12.0 10.1186 1945.718394 0.330675963662
12.0 10.11597 1945.2179313 0.320675428258
12.0 10.11334 1944.7174686 0.263575597084
12.0 10.11071 1944.2170059 0.327449984499
12.0 10.10808 1943.7165432 0.274866524152
12.0 10.10545 1943.2160805 0.254542855429
12.0 10.10282 1942.7156178 0.332934149075
12.0 10.10019 1942.2151551 0.303255140781
12.0 10.09756 1941.7146924 0.260027020006
12.0 10.09493 1941.2142297 0.243897124194
12.0 10.0923 1940.713767 0.217766692978
12.0 10.08967 1940.2133043 0.159376470139
12.0 10.08704 1939.7128416 0.248413495021
12.0 10.08441 1939.2123789 0.184861705522
12.0 10.08178 1938.7119162 0.132278245175
12.0 10.07915 1938.2114535 0.226154238801
12.0 10.07652 1937.7109908 0.179377540946
12.0 10.07389 1937.2105281 0.150343728485
12.0 10.07126 1936.7100654 0.210024342989
12.0 10.06863 1936.2096027 0.189378076349
12.0 10.066 1935.70914 0.128084472264
12.0 10.06337 1935.2086773 0.0880823306506
12.0 10.06074 1934.7082146 0.10356703063
12.0 10.05811 1934.2077519 0.0855015473207
12.0 10.05548 1933.7072892 0.108405999374
12.0 10.05285 1933.2068265 0.117116143112
12.0 10.05022 1932.7063638 0.112922370201
12.0 10.04759 1932.2059011 0.065500476514
12.0 10.04496 1931.7054384 0.00130349118263
12.0 10.04233 1931.2049757 0.0696942494251
12.0 10.0397 1930.704513 0.157118284726
12.0 10.03707 1930.2040503 0.0293695098953
12.0 10.03444 1929.7035876 0.0732428265037
12.0 10.03181 1929.2031249 0.0567903327756
12.0 10.02918 1928.7026622 0.0232401494868
12.0 10.02655 1928.2021995 0.0487253848696
12.0 10.02392 1927.7017368 -0.00514846714213
12.0 10.02129 1927.2012741 -0.0306337025249
12.0 10.01866 1926.7008114 -0.0167619921267
12.0 10.01603 1926.2003487 0.00711025367491
12.0 10.0134 1925.699886 -0.000632096314803
12.0 10.01077 1925.1994233 -0.0309563004412
12.0 10.00814 1924.6989606 -0.0296659087762
12.0 10.00551 1924.1984979 -0.0328918879386
12.0 10.00288 1923.6980352 -0.00385807547718
12.0 10.00025 1923.1975725 -0.0509573712479
12.0 9.99762 1922.6971098 -0.0312788983574
12.0 9.99499 1922.1966471 -0.0370856608497
12.0 9.99236 1921.6961844 -0.0954758836888
12.0 9.98973 1921.1957217 -0.076765204547
