freq  i  field  SR124
10.0 8.30312 1600.2507048 1.06716700643
10.0 8.27312 1594.5420048 1.04329476063
10.0 8.24312 1588.8333048 0.998776248191
10.0 8.21312 1583.1246048 1.01200276276
10.0 8.18312 1577.4159048 1.09329743765
10.0 8.15312 1571.7072048 0.978775177384
10.0 8.12312 1565.9985048 0.99200169195
10.0 8.09312 1560.2898048 1.01329315442
10.0 8.06312 1554.5811048 0.910061821225
10.0 8.03312 1548.8724048 0.950386560755
10.0 8.00312 1543.1637048 0.937482644105
10.0 7.97312 1537.4550048 0.985872331541
10.0 7.94312 1531.7463048 0.93877303577
10.0 7.91312 1526.0376048 0.967806848232
10.0 7.88312 1520.3289048 0.953935137833
10.0 7.85312 1514.6202048 0.896190110827
10.0 7.82312 1508.9115048 0.916836377466
10.0 7.79312 1503.2028048 0.797797746374
10.0 7.7776 1500.249504 0.776506283903
10.0 7.76183 1497.2486307 0.753924429766
10.0 7.74606 1494.2477574 0.802314117202
10.0 7.73029 1491.2468841 0.794894365128
10.0 7.71452 1488.2460108 0.690695238183
10.0 7.69875 1485.2451375 0.694243815262
10.0 7.68298 1482.2442642 0.618433304946
10.0 7.66721 1479.2433909 0.587141307071
10.0 7.65144 1476.2425176 0.566495040432
10.0 7.63567 1473.2416443 0.556171907112
10.0 7.6199 1470.240771 0.430681317695
10.0 7.60413 1467.2398977 0.422616369789
10.0 7.58836 1464.2390244 0.328417778248
10.0 7.57259 1461.2381511 0.278415101231
10.0 7.55682 1458.2372778 0.153892305563
10.0 7.54105 1455.2364045 0.084533753572
10.0 7.52528 1452.2355312 0.0919535056455
10.0 7.50951 1449.2346579 -0.0474087941693
10.0 7.49374 1446.2337846 -0.131606850307
10.0 7.47797 1443.2329113 -0.132897241972
10.0 7.4622 1440.232038 -0.310326095903
10.0 7.44643 1437.2311647 -0.534854245605
10.0 7.43066 1434.2302914 -0.568404428894
10.0 7.41489 1431.2294181 -0.670022772509
10.0 7.39912 1428.2285448 -0.689701245399
10.0 7.38335 1425.2276715 -0.682604091242
10.0 7.36758 1422.2267982 -0.674539143336
10.0 7.35181 1419.2259249 -0.654860670445
10.0 7.33604 1416.2250516 -0.467431281111
10.0 7.32027 1413.2241783 -0.170963796088
10.0 7.3045 1410.223305 0.0751784140011
10.0 7.28873 1407.2224317 0.292286811629
10.0 7.27296 1404.2215584 0.646499323659
10.0 7.25719 1401.2206851 1.06974778976
10.0 7.24142 1398.2198118 1.36750566645
10.0 7.22565 1395.2189385 1.77107565966
10.0 7.20988 1392.2180652 2.04044491972
10.0 7.19411 1389.2171919 2.25819851318
10.0 7.17834 1386.2163186 2.41594889422
10.0 7.16257 1383.2154453 2.49111420871
10.0 7.1468 1380.214572 2.70693221467
10.0 7.13103 1377.2136987 2.6082172523
10.0 7.11526 1374.2128254 2.59370034607
10.0 7.09949 1371.2119521 2.60757205647
10.0 7.08372 1368.2110788 2.42627202754
10.0 7.06795 1365.2102055 2.4611126025
10.0 7.05218 1362.2093322 2.34529995057
10.0 7.03641 1359.2084589 2.25819851318
10.0 7.02064 1356.2075856 2.21174441325
10.0 7.00487 1353.2067123 2.13722429459
10.0 6.9891 1350.205839 2.03463815723
10.0 6.97333 1347.2049657 1.89559845533
10.0 6.95756 1344.2040924 1.9288260407
10.0 6.94179 1341.2032191 1.8730166012
10.0 6.92602 1338.2023458 1.76139772218
10.0 6.91025 1335.2014725 1.71558881807
10.0 6.89448 1332.2005992 1.68881319102
10.0 6.87871 1329.1997259 1.63558453484
10.0 6.86294 1326.1988526 1.53267579956
10.0 6.84717 1323.1979793 1.57364573493
10.0 6.8314 1320.197106 1.54428932455
10.0 6.81563 1317.1962327 1.48138273088
10.0 6.79986 1314.1953594 1.45460710383
10.0 6.78409 1311.1944861 1.44654215593
10.0 6.76832 1308.1936128 1.3784739956
10.0 6.75255 1305.1927395 1.44073539344
10.0 6.73678 1302.1918662 1.38105477893
10.0 6.72658 1300.2509082 1.28201721865
10.0 6.69658 1294.5422082 1.36492488312
10.0 6.66658 1288.8335082 1.29040476447
10.0 6.63658 1283.1248082 1.27685565199
10.0 6.60658 1277.4161082 1.22717557289
10.0 6.57658 1271.7074082 1.18459264794
10.0 6.54658 1265.9987082 1.20975528541
10.0 6.51658 1260.2900082 1.24007948954
10.0 6.48658 1254.5813082 1.16749495838
10.0 6.45658 1248.8726082 1.2074971
10.0 6.42658 1243.1639082 1.19652877084
10.0 6.39658 1237.4552082 1.2533060041
10.0 6.36658 1231.7465082 1.23427272704
10.0 6.33658 1226.0378082 1.19104460627
10.0 6.30658 1220.3291082 1.15846221673
10.0 6.27658 1214.6204082 1.20943268749
10.0 6.24658 1208.9117082 1.11555669387
10.0 6.21658 1203.2030082 1.08200651058
