freq  i  field  SR124
11.0 9.53807 1835.2493403 0.939740829519
11.0 9.50807 1829.5406403 0.923288335791
11.0 9.47807 1823.8319403 0.917804171215
11.0 9.44807 1818.1232403 0.889738152502
11.0 9.41807 1812.4145403 0.863930319203
11.0 9.38807 1806.7058403 0.87618904002
11.0 9.35807 1800.9971403 0.831347929663
11.0 9.32807 1795.2884403 0.88909295667
11.0 9.29807 1789.5797403 0.933934067027
11.0 9.26807 1783.8710403 0.842961454648
11.0 9.23807 1778.1623403 0.793281375547
11.0 9.20807 1772.4536403 0.851671598386
11.0 9.17807 1766.7449403 0.868769287947
11.0 9.14807 1761.0362403 0.748117667274
11.0 9.11807 1755.3275403 0.77328030474
11.0 9.08807 1749.6188403 0.717793463147
11.0 9.05807 1743.9101403 0.693921217346
11.0 9.02807 1738.2014403 0.647467117407
11.0 9.01256 1735.2500424 0.729729586048
11.0 9.00993 1734.7495797 0.696502000676
11.0 9.0073 1734.249117 0.641015159083
11.0 9.00467 1733.7486543 0.662629219471
11.0 9.00204 1733.2481916 0.725213215221
11.0 8.99941 1732.7477289 0.664242209052
11.0 8.99678 1732.2472662 0.629079036182
11.0 8.99415 1731.7468035 0.68069470278
11.0 8.99152 1731.2463408 0.668758579879
11.0 8.98889 1730.7458781 0.671339363209
11.0 8.98626 1730.2454154 0.662951817387
11.0 8.98363 1729.7449527 0.658758044476
11.0 8.981 1729.24449 0.670694167376
11.0 8.97837 1728.7440273 0.646821921575
11.0 8.97574 1728.2435646 0.660371034057
11.0 8.97311 1727.7431019 0.711664102739
11.0 8.97048 1727.2426392 0.618433304946
11.0 8.96785 1726.7421765 0.536170836305
11.0 8.96522 1726.2417138 0.614239532035
11.0 8.96259 1725.7412511 0.626820850768
11.0 8.95996 1725.2407884 0.548106959206
11.0 8.95733 1724.7403257 0.597141842474
11.0 8.9547 1724.239863 0.591657677898
11.0 8.95207 1723.7394003 0.585205719573
11.0 8.94944 1723.2389376 0.516492363415
11.0 8.94681 1722.7384749 0.548752155039
11.0 8.94418 1722.2380122 0.533590052975
11.0 8.94155 1721.7375495 0.432939503109
11.0 8.93892 1721.2370868 0.577140771667
11.0 8.93629 1720.7366241 0.486813355121
11.0 8.93366 1720.2361614 0.621659284108
11.0 8.93103 1719.7356987 0.565849844599
11.0 8.9284 1719.235236 0.605529388296
11.0 8.92577 1718.7347733 0.529396280064
11.0 8.92314 1718.2343106 0.559075288358
11.0 8.92051 1717.7338479 0.521653930075
11.0 8.91788 1717.2333852 0.560043082107
11.0 8.91525 1716.7329225 0.465199294733
11.0 8.91262 1716.2324598 0.541655000881
11.0 8.90999 1715.7319971 0.449069398921
11.0 8.90736 1715.2315344 0.570366215426
11.0 8.90473 1714.7310717 0.483909973875
11.0 8.9021 1714.230609 0.496168694692
11.0 8.89947 1713.7301463 0.49713648844
11.0 8.89684 1713.2296836 0.411002844805
11.0 8.89421 1712.7292209 0.465521892649
11.0 8.89158 1712.2287582 0.411648040637
11.0 8.88895 1711.7282955 0.449069398921
11.0 8.88632 1711.2278328 0.327449984499
11.0 8.88369 1710.7273701 0.356483796961
11.0 8.88106 1710.2269074 0.363580951118
11.0 8.87843 1709.7264447 0.397131134407
11.0 8.8758 1709.225982 0.399711917737
11.0 8.87317 1708.7255193 0.376807465684
11.0 8.87054 1708.2250566 0.33164375741
11.0 8.86791 1707.7245939 0.412615834386
11.0 8.86528 1707.2241312 0.424551957287
11.0 8.86265 1706.7236685 0.29648058454
11.0 8.86002 1706.2232058 0.399066721904
11.0 8.85739 1705.7227431 0.32906297408
11.0 8.85476 1705.2222804 0.29906136787
11.0 8.85213 1704.7218177 0.325836994918
11.0 8.8495 1704.221355 0.230025413795
11.0 8.84687 1703.7208923 0.367452126113
11.0 8.84424 1703.2204296 0.299383965787
11.0 8.84161 1702.7199669 0.259704422089
11.0 8.83898 1702.2195042 0.318739840761
11.0 8.83635 1701.7190415 0.330030767829
11.0 8.83372 1701.2185788 0.275834317901
11.0 8.83109 1700.7181161 0.232606197125
11.0 8.82846 1700.2176534 0.206153167994
11.0 8.82583 1699.7171907 0.257768834592
11.0 8.8232 1699.216728 0.187442488852
11.0 8.82057 1698.7162653 0.314223469933
11.0 8.81794 1698.2158026 0.210992136737
11.0 8.81531 1697.7153399 0.136794616003
11.0 8.81268 1697.2148772 0.136794616003
